TimeWindow, Flight, RiskCategory, O57, O58, O59, O60, O61, O62, O63, O64
240, Flight59, LOWRISK2, 0.6249999999836447, 0.2776495339207993, 0.09735046608106843, 5.740632443442569E-12, 1.8322010135110514E-12, 5.7405614900172374E-12, 1.8321929073316687E-12, 1.8320814697896386E-12
240, Flight59, LOWRISK3, 0.6250000000189837, 0.19815795605519787, 0.17684204375030482, 6.01683474776879E-11, 1.9223416636165833E-11, 6.016643181467077E-11, 1.9223192083114772E-11, 1.922228147673172E-11
240, Flight59, LOWRISK4, 0.9999999999269678, 1.7485904199441708E-11, 1.748433049554187E-11, 1.0999097503657731E-11, 6.184713481681117E-12, 1.0999230703763159E-11, 6.184755448984376E-12, 6.184515055199973E-12
240, Flight60, SELECTEE, 1.401689098227059E-11, 1.7252835597546768E-9, 1.7268994767523808E-9, 0.5175394327138996, 0.10721331687785998, 0.18246056292205232, 0.08735896417145052, 0.10542771985102778
240, Flight60, UNKNOWN, 1.0000000000000924, 6.366736895926388E-13, 6.36748009838037E-13, 3.2412133437016727E-13, 1.5872593848525064E-13, 3.2411974604516583E-13, 1.5872577718727062E-13, 1.587201510702144E-13
240, Flight60, LOWRISK1, 0.9999999999969869, 1.3056592814081701E-12, 1.3055415234558382E-12, 7.9341932842722E-13, 4.3510581683911324E-13, 7.934189142971731E-13, 4.3510558333306073E-13, 4.350920078290065E-13
240, Flight60, LOWRISK2, 0.9999999999816778, 4.837125079679202E-12, 4.836703698110156E-12, 3.0265810033494635E-12, 1.6951439123273372E-12, 3.0265864726655286E-12, 1.6951452327212245E-12, 1.695090400672664E-12
240, Flight60, LOWRISK3, 0.9999999999645869, 8.787876093694612E-12, 8.787098231835726E-12, 5.517247329321578E-12, 3.0978891532030624E-12, 5.517273102056943E-12, 3.0978969018093318E-12, 3.0977905937288326E-12
240, Flight60, LOWRISK4, 0.9999999999269795, 1.7482444083637162E-11, 1.7480909003224203E-11, 1.0997430152092745E-11, 6.184053529540888E-12, 1.0997656940555826E-11, 6.1841253445428875E-12, 6.183857790665602E-12
240, Flight61, SELECTEE, 1.3885154316444726E-11, 1.4992008248180236E-9, 1.5084166530043816E-9, 0.1345947440676617, 0.4177110537447286, 0.03207191848918607, 0.03881649812262328, 0.3768057825567878
240, Flight61, UNKNOWN, 0.8333333333330153, 0.09263237718076743, 0.07403428944912105, 1.3382998878283812E-11, 4.2735026065197804E-12, 1.338299230687006E-11, 4.2734979227078825E-12, 4.273237461804686E-12
240, Flight61, LOWRISK1, 0.5549560612552863, 0.27047868440343903, 0.174565254292844, 1.7216814948056628E-11, 5.49595359804748E-12, 1.7216441985178175E-11, 5.495910652163653E-12, 5.495601810141377E-12
240, Flight61, LOWRISK2, 0.49999999999188804, 0.2854649261429253, 0.21453507377857733, 3.0124720383213674E-11, 9.61737677989253E-12, 3.012326942971939E-11, 9.617214435061886E-12, 9.616767142003822E-12
240, Flight61, LOWRISK3, 0.5000000000339969, 0.25923843927532797, 0.24076156033737753, 1.2024956267110457E-10, 3.843611462581818E-11, 1.2023381416277733E-10, 3.843428126001394E-11, 3.843393134319943E-11
240, Flight61, LOWRISK4, 0.17121913076297707, 0.183626056473901, 0.0, 0.15304019418580278, 0.16800705624897713, 0.1629145539891977, 0.16119300834101186, 0.0
240, Flight62, SELECTEE, 4.671736396076251E-12, 5.90614379143139E-10, 5.904254703517385E-10, 0.3896029558372219, 0.21807741457109878, 0.11039704313004961, 0.09650524616069137, 0.18541733911771688
240, Flight62, UNKNOWN, 0.9999999999992977, 7.863481156228155E-13, 7.862597531013729E-13, 4.520694021482852E-13, 2.3861026093386233E-13, 4.5206855436487844E-13, 2.3860995809358445E-13, 2.3860207062048987E-13
240, Flight62, LOWRISK1, 0.9999999999955033, 1.6459830957783292E-12, 1.645841684311186E-12, 1.010366186993581E-12, 5.580853434283317E-13, 1.0103662778619732E-12, 5.580851403153053E-13, 5.58068032122632E-13
240, Flight62, LOWRISK2, 0.9999999999598356, 1.0647882301483654E-11, 1.064721755128852E-11, 5.995905052526461E-12, 3.122535955257033E-12, 5.995970961069195E-12, 3.1225491937862093E-12, 3.1224484404441226E-12
240, Flight62, LOWRISK3, 0.9999999999167113, 2.0530584114294618E-11, 2.0529023915401474E-11, 1.232004215278041E-11, 6.6930943522808E-12, 1.2320156401104611E-11, 6.693125244243125E-12, 6.6928964635604264E-12
240, Flight62, LOWRISK4, 0.9999999999645901, 8.787017173112612E-12, 8.786247963125411E-12, 5.516839796431497E-12, 3.09772758737025E-12, 5.516883312256641E-12, 3.0977409784644136E-12, 3.097629662948899E-12
240, Flight63, SELECTEE, 0.25000000058779454, 0.4341672182722626, 0.3158327810533063, 3.013686860586414E-11, 9.619089852359317E-12, 3.013331948656933E-11, 9.618709228803086E-12, 9.618472385674602E-12
240, Flight63, UNKNOWN, 0.9999999999995192, 7.399180021900094E-13, 7.398518665141622E-13, 4.182142161579888E-13, 2.1829154325956319E-13, 4.182136263706233E-13, 2.1829132784215922E-13, 2.1828399982709034E-13
240, Flight63, LOWRISK1, 0.9999999999880802, 3.357762288662524E-12, 3.3574723890027775E-12, 2.0933419016203167E-12, 1.1693349606201738E-12, 2.0933490257835113E-12, 1.169336877128753E-12, 1.169298281138892E-12
240, Flight63, LOWRISK2, 0.9999999999269815, 1.7481893447921586E-11, 1.7480364902872457E-11, 1.0997133854363199E-11, 6.183937958385505E-12, 1.0997405005439086E-11, 6.184023893611355E-12, 6.183742685419002E-12
240, Flight63, LOWRISK3, 0.99999999995707, 1.052551850226583E-11, 1.0524597224086185E-11, 6.612698933496024E-12, 3.714896681377984E-12, 6.612790726104771E-12, 3.714925430455968E-12, 3.714779344382189E-12
